airport1,x1,y1,airport2,x2,y2,city1,city2
KMCI,-94.72505188,39.3077507,US-6340,-95.64760208,32.63339996,"Kansas City, Missouri","Grand Saline, Texas"
K1M5,-86.4769516,36.59285164,KGZH,-87.0469017,31.4147501,"Portland, Tennessee","Evergreen, Alabama"
MM28,-98.9435997,19.87400055,KEOS,-94.39170074,36.81080055,", ","Neosho, Missouri"
KVWU,-94.51634979,48.15094948,KCAO,-103.1525002,36.44625092,"Waskish, Minnesota","Clayton, New Mexico"
KMSN,-89.33524704,43.14185143,KCWI,-90.32830048,41.83250046,"Madison, Wisconsin","Clinton, Iowa"
KSEP,-98.18054962,32.21545029,KAIZ,-92.54949951,38.09600067,"Stephenville, Texas","Kaiser Lake Ozark, Missouri"
KSNY,-102.9844971,41.09770012,AZ82,-110.5299988,34.39724922,"Sidney, Nebraska","Overgaard, Arizona"
U93,-114.3969994,43.27935028,U61,-114.1105003,43.94370079,"Hailey, Idaho","Ketchum, Idaho"
92C,-88.21689987,44.64105034,KERV,-99.08715057,29.98204994,"Pulaski, Wisconsin","Kerrville, Texas"
CBS2,-103.0188828,49.29559898,KNID,-117.6969986,35.68579865,", ","China Lake, California"
EGXU,-1.253089964,54.04940033,SA32,-61.95639992,-33.68179893,", ",", "
KSAT,-98.46220016,29.53104973,KM19,-91.17734909,35.63490105,"San Antonio, Texas","Newport, Arkansas"
KEAU,-91.48164749,44.86714935,KSWT,-97.10939789,40.86619949,"Eau Claire, Wisconsin","Seward, Nebraska"
KTZR,-83.13689804,39.90119934,KM88,-86.70125198,36.18959999,"Columbus, Ohio","Nashville, Tennessee"
KTVI,-83.88195038,30.90100002,KRCZ,-79.76454926,34.89105034,"Thomasville, Georgia","Rockingham, North Carolina"
KDYR,-89.40764999,35.99634933,KTDZ,-83.48194885,41.56389999,"Dyersburg, Tennessee","Toledo, Ohio"
KMAO,-79.33469772,34.18120003,KLGA,-73.87739944,40.77729988,"Marion, South Carolina","New York, New York"
KOLE,-78.37159729,42.24029922,K3R2,-92.48485184,30.16104984,"Olean, New York","Crowley, Louisiana"
KC91,-86.12290192,41.99134827,K2H0,-88.84490204,39.40864944,"Dowagiac, Michigan","Shelbyville, Illinois"
KERY,-85.45360184,46.30749893,KPTS,-94.73189926,37.44729996,"Newberry, Michigan","Pittsburg, Kansas"
KM19,-91.17734909,35.63490105,61Y,-87.77640152,38.20530128,"Newport, Arkansas","Poseyville, Indiana"
KPRO,-94.15855026,41.82760048,KCVS,-103.3199997,34.38644981,"Perry, Iowa","Clovis, New Mexico"
K5W4,-79.19099808,35.01984978,KMUL,-83.7133522,31.13844967,"Raeford, North Carolina","Moultrie, Georgia"
US-1114,-94.61617661,41.60520172,KCCY,-92.60884857,43.07175064,"Adair, Iowa","Charles City, Iowa"
KPYX,-100.7545013,36.40945053,KSDA,-95.41225052,40.75040054,"Perryton, Texas","Shenandoah, Iowa"
KMMU,-74.41284943,40.79974937,KEHO,-81.60094833,35.25509834,"Morristown, New Jersey","Shelby, North Carolina"
KLWM,-71.12314987,42.71629906,K3C8,-72.80834961,40.91555023,"Lawrence, Massachusetts","Calverton, New York"
KLNN,-81.39094925,41.68535042,KGQQ,-82.72375107,40.7533493,"Willoughby, Ohio","Galion, Ohio"
KGWW,-77.96495056,35.46055031,K15J,-83.45499802,31.13534927,"Goldsboro, North Carolina","Adel, Georgia"
KCKV,-87.41464996,36.62244987,EOD,-87.48139954,36.56764984,"Clarksville, Tennessee","Fort Campbell(Clarksville), Tennessee"
KHOC,-83.5388031,39.18874931,KM21,-87.15639877,37.22624969,"Hillsboro, Ohio","Greenville, Kentucky"
KCRT,-91.88030243,33.17844963,KI12,-84.15174866,40.23974991,"Crossett, Arkansas","Sidney, Ohio"
KBIJ,-84.89479828,31.39749908,KMPO,-75.37720108,41.13839912,"Blakely, Georgia","Mount Pocono, Pennsylvania"
DNMN,6.46235013,9.652339935,DN53,7.448705196,10.59894991,", ",", "
LIPA,12.59640026,46.03109932,LESB,2.703329921,39.59939957,", ",", "
KJXN,-84.45899963,42.26070023,KIRS,-85.43605042,41.81365013,"Jackson, Michigan","Sturgis, Michigan"
KMRC,-87.17900085,35.55520058,KK20,-83.26499939,37.39175034,"Columbia/Mount Pleasant, Tennessee","Hazard, Kentucky"
KCDN,-80.56490326,34.28345108,KS17,-81.86695099,33.64585114,"Camden, South Carolina","Trenton, South Carolina"
73AZ,-113.3610001,35.20195007,K1V0,-107.6509972,36.80834961,"Kingman, Arizona","Navajo Dam, New Mexico"
CYTR,-77.52931976,44.11744499,KCGF,-81.48635101,41.56514931,", ","Cleveland, Ohio"
ESKB,17.89069939,59.41870117,ESIA,14.50710011,58.51385117,", ",", "
LKPM,14.09744978,49.71924973,EDNL,10.0145998,47.85904884,", ",", "
MHTJ,-85.93824768,15.92685032,EHRD,4.441659927,51.95744896,", ",", "
OPGD,62.3295002,25.2333498,OYBA,50.8369503,18.71920013,", ",", "
ZA-0112,28.3501997,-25.97124958,FASX,20.47350025,-34.04935074,", ",", "
KN40,-74.97864914,40.56624985,9CL2,-121.3370018,36.87150002,"Pittstown, New Jersey","Hollister, California"
KGKJ,-80.21470261,41.62649918,CYXK,-68.49679947,48.47805023,"Meadville, Pennsylvania",", "
KPVB,-90.4449501,42.68764877,KCAD,-85.42210007,44.27565002,"Platteville, Wisconsin","Cadillac, Michigan"
K0VG,-83.21784973,36.65410042,08MS,-89.86835098,34.66225052,"Jonesville, Virginia","Coldwater, Mississippi"
KGEY,-108.0880013,44.5142498,OG21,-120.8230019,44.19515038,"Greybull, Wyoming","Prineville, Oregon"
K3A2,-83.55554962,36.40999985,7N7,-75.39769745,39.73554993,"Tazewell, Tennessee","Pedricktown, New Jersey"
CEU2,-119.4475021,55.18420029,CYQU,-118.8850021,55.18439865,", ",", "
DE-0440,13.50353336,52.37209892,SKPC,-67.4931488,6.184709787,", ",", "
EDAZ,13.15929985,52.2038002,MULM,-83.64209747,22.33610058,", ",", "
EDDB,13.50355005,52.37209892,SKPC,-67.4931488,6.184709787,", ",", "
EGNT,-1.689804971,55.03790092,PADQ,-152.4994965,57.75185013,", ","Kodiak, Alaska"
GMTT,-5.912729979,35.72220039,SVPR,-62.76034927,8.288529873,", ",", "
HE46,32.97574997,30.02729988,UTST,67.30914688,37.2866497,", ",", "
OIMN,57.30825043,37.49299812,SVEZ,-69.4966507,7.059720039,", ",", "
KAGS,-81.95959854,33.36770058,K7A3,-85.229599,32.81204987,"Augusta, Georgia","Lanett, Alabama"
KF45,-80.21954727,26.85025024,ZWKC,82.87279892,41.67760086,"West Palm Beach, Florida",", "
KJCT,-99.76015091,30.5118494,LKTO,12.95265007,50.08647156,"Junction, Texas",", "
KEWK,-97.27289963,38.06069946,CYKF,-80.37826538,43.46163559,"Newton, Kansas",", "
KLLN,-102.3714981,33.56049919,KBLH,-114.7169991,33.61655045,"Levelland, Texas","Blythe, California"
KLLN,-102.3714981,33.56049919,8XS8,-102.0415001,33.58465004,"Levelland, Texas","Lubbock, Texas"
K3I3,-87.37649918,39.54874992,KFTG,-104.5510025,39.79379845,"Terre Haute, Indiana","Denver, Colorado"
KBQR,-78.61225128,42.92229843,ETMN,8.658500195,53.7676506,"Lancaster, New York",", "
KFWQ,-79.8314476,40.20969963,K3I3,-87.37649918,39.54874992,"Monongahela, Pennsylvania","Terre Haute, Indiana"
K1S3,-106.6235008,46.27115059,EDQM,11.85405016,50.28865051,"Forsyth, Montana",", "
K1MO,-92.31124878,37.12074852,KI86,-82.19779968,39.6916008,"Mountain Grove, Missouri","New Lexington, Ohio"
KGNC,-102.6565018,32.67855072,18TE,-95.06394958,32.58519936,"Seminole, Texas","Big Sandy, Texas"
KCLR,-115.5214996,33.13135147,58CL,-116.276001,33.19149971,"Calipatria, California","Borrego Springs, California"
KE35,-106.1474991,31.51570034,EGFA,-4.556945086,52.11529922,"Fabens, Texas",", "
K14M,-90.83065033,33.18264961,K2F4,-101.8159981,33.18220139,"Hollandale, Mississippi","Tahoka, Texas"
06TE,-95.02685165,30.31270027,KJCT,-99.76015091,30.5118494,"Cleveland, Texas","Junction, Texas"
7D8,-81.09954834,41.3512001,K9S9,-119.6899986,45.45415115,"Garrettsville, Ohio","Lexington, Oregon"
KL04,-115.2675018,32.84029961,KFRH,-86.63695145,38.50624847,"Holtville, California","French Lick, Indiana"
NM72,-108.2849998,32.74735069,18TE,-95.06394958,32.58519936,"Silver City, New Mexico","Big Sandy, Texas"
CYKF,-80.37826538,43.46163559,EGBP,-2.056754947,51.66810036,", ",", "
CYYC,-114.0164986,51.10419846,CYBW,-114.3712959,51.10480309,", ",", "
CYZX,-64.91860199,44.98589897,KDXX,-96.17644882,44.98590088,", ","Madison, Minnesota"
