,store_id,address,town,state,zip_code,phone_number,bisc_gravy,store_open_date,store_latitude,store_longitude
7653,36441,2473 Jalynn St,Warsaw,INDIANA,46582,5742677272,1,2014-07-03,41.268973,-85.853651
7654,5632,85 Bruckner Blvd,Bronx,NEW YORK,10454,7185858368,0,1980-12-08,40.80632,-73.925667
7655,8000,1963 Pleasant Hill Rd,Duluth,GEORGIA,30096,7704762040,0,1984-10-15,33.953613,-84.131516
7656,10123,7392 Alameda Avenue,El Paso,TEXAS,79915,9157753528,0,1987-03-03,31.741726,-106.378098
7657,36011,1325 W Riverstone Drive,Coeur D Alene,IDAHO,83814,2086645559,0,2013-08-17,47.693738,-116.8042
7658,33213,401 Southwest Access Road,Iowa Park,TEXAS,76367,9405925555,1,2010-05-04,33.965019,-98.671613
7659,5798,529 Southwest Cutoff,Worcester,MASSACHUSETTS,01607,5087521097,0,1981-05-14,42.211311,-71.795837
7660,26912,5480 Germanna Hwy,Locust Grove,VIRGINIA,22508,5409720004,1,2001-11-05,38.326541,-77.730052
7661,27600,110 Addison Ave West,Twin Falls,IDAHO,83301,2087330088,0,2002-04-29,42.563894,-114.480603
7662,3820,328 N Main,Cedartown,GEORGIA,30125,7707487773,1,1976-08-16,34.01865,-85.252808
7663,12221,601 W Main St,Cut Bank,MONTANA,59427,4068732341,0,1992-11-20,48.639858,-112.339857
7664,22697,3600 W Mcfadden Ave,Santa Ana,CALIFORNIA,92704,7145310480,0,1998-01-26,33.737123,-117.915347
7665,27495,2847 Martha Berry Blvd,Rome,GEORGIA,30165,7062341080,1,2001-12-13,34.304988,-85.175058
7666,7530,27643 State Rd 54 W,Wesley Chapel,FLORIDA,33543,8139072060,0,1985-09-13,28.238212,-82.35848
7667,34743,525 Wicks Lane,Billings,MONTANA,59105,4062483763,0,2014-10-20,45.828848,-108.471795
7668,2362,2415 E Lincoln Way,Sterling,ILLINOIS,61081,8156265433,1,1973-02-13,41.801191,-89.667112
7669,73,445 W Roosevelt Rd,Glen Ellyn,ILLINOIS,60137,6308581114,0,1958-02-15,41.858888,-88.070553
7670,25502,18146 Blanco Rd,San Antonio,TEXAS,78232,2104087400,0,2001-09-20,29.607085,-98.507765
7671,13963,5857 Easton Road,Pipersville,PENNSYLVANIA,18947,2157664860,0,1995-01-12,40.386278,-75.145927
7672,17189,287 N Hubbards Lane,Louisville,KENTUCKY,40207,5028970963,1,1995-05-31,38.258547,-85.639393
7673,17473,15975 Sw Regatta Ln,Beaverton,OREGON,97006,5036148799,0,1995-07-02,45.517031,-122.841423
7674,21812,499 S 1st St,Selah,WASHINGTON,98942,5096979787,0,1998-12-17,46.647165,-120.529998
7675,19894,5030 Southport Crossing Pl,Indianapolis,INDIANA,46227,3178599760,1,1996-12-23,39.665325,-86.083276
7676,7160,8329 Mayfield Rd,Chesterland,OHIO,44026,4407290599,0,1984-11-09,41.521633,-81.344467
7677,18786,3011 Johnson Ferry Dr,Marietta,GEORGIA,30062,7709983774,0,1996-07-19,34.022803,-84.426697
7678,3123,3501 Branch Ave,Hillcrest Heights,MARYLAND,20748,2404934207,0,1975-01-03,38.843727,-76.950472
7679,38760,1720 Celebration Boulevard,Kissimmee,FLORIDA,34747,3219394152,0,2018-09-28,28.303323,-81.564817
7680,26284,9310 Hwy 6 S,Houston,TEXAS,77083,8323281890,0,2001-11-23,29.678136,-95.644237
7681,21541,710 Army Post Rd,Des Moines,IOWA,50309,5152567383,1,1998-01-21,41.525829,-93.623975
7682,6321,2115 E 2nd St,Superior,WISCONSIN,54880,7153985422,0,1982-08-17,46.707157,-92.047404
7683,33985,2595 Hwy 501,Aynor,SOUTH CAROLINA,29511,8433581920,1,2010-10-28,33.999374,-79.205741
7684,3573,4301 N Roxboro Rd,Durham,NORTH CAROLINA,27704,9194777954,1,1975-10-29,36.051428,-78.904075
7685,24313,701 South Broadway,Salina,KANSAS,67401,7858255301,1,2005-01-13,38.82677,-97.624476
7686,13060,2101 Nw 23rd St,Oklahoma City,OKLAHOMA,73107,4055244100,1,1994-02-17,35.493714,-97.548063
7687,7863,2385 Roanoke St,Christiansburg,VIRGINIA,24073,5403824452,1,1986-05-28,37.136124,-80.360882
7688,6771,1951 N Western Ave,Chicago,ILLINOIS,60647,7732762366,0,1983-09-02,41.91711,-87.687046
7689,3089,3450 Mckinley Pkwy,Blasdell,NEW YORK,14219,7168280899,0,1974-12-19,42.792065,-78.81166
7690,15858,4660 Rt 209,Elizabethville,PENNSYLVANIA,17023,7173628416,0,1998-05-27,40.559013,-76.788959
7691,6264,3206 Clark Ln,Columbia,MISSOURI,65202,5734742031,1,1982-07-24,38.963253,-92.289888
7692,4259,80 Denison Pky,Corning,NEW YORK,14830,6079621105,0,1977-09-15,42.142918,-77.057837
7693,3066,1101 E Wishkah St,Aberdeen,WASHINGTON,98520,3605336616,0,1974-11-18,46.97701,-123.80426
7694,11548,2816 Singing Hills Blvd,Sioux City,IOWA,51111,7122525062,0,1990-10-09,42.433914,-96.3725
7695,594,1110 Center St Ne,Salem,OREGON,97301,5033635314,0,1964-04-21,44.940332,-123.026978
7696,24606,5203 Buckeystown Pike,Frederick,MARYLAND,21703,3016200339,0,2002-11-20,39.373969,-77.410903
7697,16327,1701 Oceanside Blvd,Oceanside,CALIFORNIA,92054,7607578821,0,1994-12-20,33.190414,-117.361108
